enabled,date,title,message,url,sent
TRUE,2027/03/04,國中教育會考報名開始,請依學校通知完成會考報名，確認個人資料與應考資料。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/03/06,國中教育會考報名截止,今天為會考報名截止日，請確認學校是否已完成受理。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/04/09,寄發國中教育會考准考證,收到准考證後，請確認姓名、考區、考場與應試資訊。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/05/15,國中教育會考第一天,當日考程：／08:30–09:40 社會（70 分）／10:30–11:50 數學（80 分）／13:50–15:00 國文（70 分）／15:50–16:40 寫作測驗（50 分）,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/05/16,國中教育會考第二天,當日考程：／08:30–09:40 自然（70 分）／10:30–11:30 英語閱讀（60 分）／12:05–12:30 英語聽力（25 分）,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/06/04,國中教育會考成績公布,寄發成績通知單並開放網路查詢，請確認五科等級、加號與作文級分。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/06/11,五專優先免試入學放榜,請查看錄取結果，並依公告完成報到或放棄錄取資格。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/06/18,免試入學志願選填開始,各就學區開放個人序位查詢及志願選填，請開始確認志願順序。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/06/24,免試入學志願選填截止,請完成個人序位查詢、志願排序與送出確認。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/06/29,免試入學報名截止,各就學區高中職免試入學及特色招生考試分發入學報名截止。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/07/06,免試入學放榜,請查詢各就學區免試入學及特色招生考試分發入學結果。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/07/07,五專聯合免試入學現場登記分發,請依五專聯合免試入學公告完成現場登記分發報到。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/07/08,免試入學報到,各就學區免試入學及特色招生考試分發入學報到。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/07/12,報到後放棄錄取資格截止,如需放棄錄取資格，請依招生簡章期限完成聲明程序。,https://tyctw.github.io/spare/important-dates/,
TRUE,2027/07/27,高中職免試入學續招簡章公告截止,有續招需求者，請查看各校公告及招生簡章。,https://tyctw.github.io/spare/important-dates/,
